"2853511000006117"    "burkitt cell leukaemia"                                                                                                                                                                                                                     
"289670010"           "hodgkin's disease, mixed cellularity of unspecified site"                                                                                                                                                                                   
"289783016"           "mast cell malignancy"                                                                                                                                                                                                                       
"289595019"           "lymphosarcoma of intra-abdominal lymph nodes"                                                                                                                                                                                               
"880861000006115"     "myeloid leukaemia - chronic"                                                                                                                                                                                                                
"289594015"           "lymphosarcoma of intrathoracic lymph nodes"                                                                                                                                                                                                 
"291902018"           "[m]malignant lymphoma, follicular centre cell nos"                                                                                                                                                                                          
"4417331000006119"    "chronic myelomonocytic leukemia"                                                                                                                                                                                                            
"291891018"           "[m]malignant lymphoma, diffuse nos"                                                                                                                                                                                                         
"292005016"           "[m]lymphoid leukaemias"                                                                                                                                                                                                                     
"289711012"           "hodgkin's disease of lymph nodes of multiple sites"                                                                                                                                                                                         
"4015571000006114"    "leukemia"                                                                                                                                                                                                                                   
"289881011"           "other lymphoid leukaemia"                                                                                                                                                                                                                   
"291907012"           "[m]malignant lymphoma, follicular centre cell, cleaved nos"                                                                                                                                                                                 
"50949017"            "lymphoma stage i"                                                                                                                                                                                                                           
"304151000006118"     "monocytoid b-cell lymphoma"                                                                                                                                                                                                                 
"289960010"           "other specified leukaemia nos"                                                                                                                                                                                                              
"746301000006117"     "leukaemic reticuloendotheliosis of intra-abdominal lymph nodes"                                                                                                                                                                             
"4416081000006119"    "letterer-siwe disease"                                                                                                                                                                                                                      
"313271000006116"     "[m]multiple myeloma"                                                                                                                                                                                                                        
"683721000006115"     "mycosis fungoides of the lymph nodes of head, face and neck"                                                                                                                                                                                
"1216868019"          "[m]basophilic leukaemia"                                                                                                                                                                                                                    
"826911000006116"     "hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of inguinal region and lower limb"                                                                                                                                   
"310071000006116"     "[m]hodgkin's disease, lymphocytic depletion, diffuse fibrosis"                                                                                                                                                                              
"110346017"           "lymphoma stage iv"                                                                                                                                                                                                                          
"289740010"           "sezary's disease of unspecified site"                                                                                                                                                                                                       
"311641000006114"     "[m]malignant lymphoma, lymphocytic, intermediate differentiation, diffuse"                                                                                                                                                                  
"2872841013"          "hepatosplenic t-cell lymphoma"                                                                                                                                                                                                              
"289704013"           "hodgkin's disease of lymph nodes of head, face and/or neck"                                                                                                                                                                                 
"826581000006119"     "hodgkin's disease, mixed cellularity of lymph nodes of inguinal region and lower limb"                                                                                                                                                      
"2663190016"          "burkitt's lymphoma"                                                                                                                                                                                                                         
"315471000006118"     "plasmacytoma"                                                                                                                                                                                                                               
"311361000006117"     "[m]lymphoblastoma nos"                                                                                                                                                                                                                      
"4172501000006111"    "lymphoma, diffuse large b cell, non hodgkins"                                                                                                                                                                                               
"309941000006119"     "[m]histiocytic leukaemia"                                                                                                                                                                                                                   
"4757371000006118"    "malignant lymphoma, stem cell type"                                                                                                                                                                                                         
"474077018"           "chronic myelomonocytic leukaemia"                                                                                                                                                                                                           
"826571000006117"     "hodgkin's disease, mixed cellularity of lymph nodes of head, face and neck"                                                                                                                                                                 
"312231000006113"     "[m]megakaryocytic myelosis"                                                                                                                                                                                                                 
"731691000006110"     "lymphosarcoma of lymph nodes of inguinal region and lower limb"                                                                                                                                                                             
"826481000006118"     "hodgkin's disease, lymphocytic depletion of lymph nodes of inguinal region and lower limb"                                                                                                                                                  
"1815631000006115"    "philadelphia chromosome positive chronic myelogenous leukaemia"                                                                                                                                                                             
"292032014"           "[m]myeloid leukaemias"                                                                                                                                                                                                                      
"880961000006111"     "leukaemia-unspec.cell subacute"                                                                                                                                                                                                             
"289618014"           "hodgkin's paragranuloma of intrathoracic lymph nodes"                                                                                                                                                                                       
"225051000006119"     "plasmacytoma"                                                                                                                                                                                                                               
"826361000006117"     "hodgkin's granuloma of lymph nodes of inguinal region and lower limb"                                                                                                                                                                       
"3108801000006115"    "myeloid leukemia"                                                                                                                                                                                                                           
"289626018"           "hodgkin's paragranuloma of lymph nodes of multiple sites"                                                                                                                                                                                   
"728591000006117"     "malignant histiocytosis of lymph nodes of axilla and upper limb"                                                                                                                                                                            
"880891000006111"     "monocytic leukaemia - chronic"                                                                                                                                                                                                              
"4172461000006111"    "diffuse malignant lymphoma - large cell"                                                                                                                                                                                                    
"2534467019"          "extranodal nk/t-cell lymphoma, nasal type"                                                                                                                                                                                                  
"292177013"           "[x]other lymphoid leukaemia"                                                                                                                                                                                                                
"1814951000006115"    "hiv disease resulting in other types of non-hodgkin lymphoma"                                                                                                                                                                               
"2731341000000117"    "angioimmunoblastic t-cell lymphoma with dysproteinaemia"                                                                                                                                                                                    
"289789017"           "mast cell malignancy of intrapelvic lymph nodes"                                                                                                                                                                                            
"311671000006118"     "malignant lymphoma"                                                                                                                                                                                                                         
"291900014"           "[m]malignant lymphoma, centroblastic-centrocytic, diffuse"                                                                                                                                                                                  
"289648012"           "hodgkin's sarcoma nos"                                                                                                                                                                                                                      
"201743012"           "plasma cell leukaemia"                                                                                                                                                                                                                      
"414298014"           "enteropathy-associated t-cell lymphoma"                                                                                                                                                                                                     
"1815231000006117"    "other types of follicular lymphoma"                                                                                                                                                                                                         
"292050019"           "eosinophilic leukaemia"                                                                                                                                                                                                                     
"3327891000006112"    "chronic lymphocytic leukaemia"                                                                                                                                                                                                              
"81441000006112"      "unspec malig neop lymphoid/histiocytic of intrapelvic nodes"                                                                                                                                                                                
"3169161000006115"    "hodgkin lymphoma, mixed cellularity"                                                                                                                                                                                                        
"1815431000006118"    "other mature t/nk-cell lymphoma"                                                                                                                                                                                                            
"306171000006115"     "[m]burkitt's cell leukaemia"                                                                                                                                                                                                                
"289713010"           "other malignant neoplasm of lymphoid and histiocytic tissue"                                                                                                                                                                                
"4020881000006112"    "m6 - acute erythroleukaemia"                                                                                                                                                                                                                
"292053017"           "[m]monocytic leukaemias"                                                                                                                                                                                                                    
"289933015"           "monocytic leukaemia nos"                                                                                                                                                                                                                    
"403760010"           "[m]lymphogranuloma, malignant"                                                                                                                                                                                                              
"81471000006116"      "unspec malig neop lymphoid/histiocytic of spleen"                                                                                                                                                                                           
"306111000006112"     "[m]brill - symmers' disease"                                                                                                                                                                                                                
"292077011"           "[m]miscellaneous leukaemia nos"                                                                                                                                                                                                             
"309021000006110"     "[m]germinoblastoma, diffuse"                                                                                                                                                                                                                
"880951000006114"     "leukaemia -unspec.cell chronic"                                                                                                                                                                                                             
"1815401000006114"    "blastic plasmacytoid dendritic cell neoplasm"                                                                                                                                                                                               
"306001000006110"     "[m]blast cell leukaemia"                                                                                                                                                                                                                    
"907291000006119"     "[rfc] hodgkin's disease"                                                                                                                                                                                                                    
"880931000006119"     "leukaemia - unspecified cell"                                                                                                                                                                                                               
"1222220018"          "[m]lymphocytic lymphosarcoma nos"                                                                                                                                                                                                           
"1815461000006110"    "low grade b-cell lymphoma"                                                                                                                                                                                                                  
"291955012"           "[m]mycosis fungoides nos"                                                                                                                                                                                                                   
"289746016"           "sezary's disease of intrapelvic lymph nodes"                                                                                                                                                                                                
"292178015"           "[x]other myeloid leukaemia"                                                                                                                                                                                                                 
"81431000006119"      "unspec malig neop lymphoid/histiocytic nodes inguinal/leg"                                                                                                                                                                                  
"3255181000006119"    "diffuse large b-cell lymphoma"                                                                                                                                                                                                              
"683191000006119"     "myeloma - solitary"                                                                                                                                                                                                                         
"826751000006118"     "hodgkin's paragranuloma of lymph nodes of head, face, and neck"                                                                                                                                                                             
"1815061000006118"    "mixed cellularity classical hodgkin lymphoma"                                                                                                                                                                                               
"826181000006113"     "hodgkin's disease of lymph nodes of axilla and/or upper limb"                                                                                                                                                                               
"4309411000006119"    "non-hodgkin lymphoma"                                                                                                                                                                                                                       
"308041000006113"     "[m]eosinophilic leukaemia"                                                                                                                                                                                                                  
"313391000006114"     "[m]myelomatosis"                                                                                                                                                                                                                            
"311611000006110"     "[m]malignant lymphoma, lymphocytic, intermediate differentiation nos"                                                                                                                                                                       
"2870704010"          "osteomyelofibrosis"                                                                                                                                                                                                                         
"289832014"           "malignant lymphoma of intrathoracic lymph nodes"                                                                                                                                                                                            
"2730231000006116"    "hodgkin lymphoma"                                                                                                                                                                                                                           
"414257019"           "follicular non-hodgkin's small cleaved cell lymphoma"                                                                                                                                                                                       
"289756017"           "lre - leukaemic reticuloendotheliosis"                                                                                                                                                                                                      
"5602371000006110"    "follicular malignant lymphoma - small cleaved cell"                                                                                                                                                                                         
"453326010"           "[m]hodgkin's disease nos"                                                                                                                                                                                                                   
"826951000006115"     "hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of head, face and neck"                                                                                                                                              
"292181013"           "[x]other monocytic leukaemia"                                                                                                                                                                                                               
"1815091000006114"    "other classical hodgkin lymphoma"                                                                                                                                                                                                           
"745011000006112"     "leukaemic reticuloendotheliosis"                                                                                                                                                                                                            
"146651000006118"     "sezary's disease"                                                                                                                                                                                                                           
"169581000006112"     "reticulosarcoma - follicular or nodular"                                                                                                                                                                                                    
"3408501000006116"    "multiple myeloma, no international classification of diseases for oncology subtype"                                                                                                                                                         
"746021000006112"     "letterer-siwe disease of lymph nodes of inguinal region and lower limb"                                                                                                                                                                     
"4309551000006117"    "hodgkin's disease, nodular sclerosis (clinical)"                                                                                                                                                                                            
"289585014"           "reticulosarcoma of lymph nodes of axilla and upper limb"                                                                                                                                                                                    
"289980011"           "subacute myelomonocytic leukaemia"                                                                                                                                                                                                          
"289659015"           "hodgkin's, lymphocytic-histiocytic predominance nos"                                                                                                                                                                                        
"5602571000006115"    "follicular malignant lymphoma - large cell"                                                                                                                                                                                                 
"2168841000000118"    "waldenstrom macroglobulinaemia"                                                                                                                                                                                                             
"396101000006112"     "malignant tumour of lymphoid haemopoietic and related tissue"                                                                                                                                                                               
"311431000006119"     "[m]lymphoma nos"                                                                                                                                                                                                                            
"157091019"           "myeloid sarcoma"                                                                                                                                                                                                                            
"2872264019"          "acute myeloid leukaemia with multilineage dysplasia"                                                                                                                                                                                        
"309031000006113"     "[m]germinoblastoma, follicular"                                                                                                                                                                                                             
"289599013"           "lymphosarcoma of spleen"                                                                                                                                                                                                                    
"18484012"            "plasmacytoma - disorder"                                                                                                                                                                                                                    
"317011000006112"     "[m]stem cell leukaemia"                                                                                                                                                                                                                     
"1216015014"          "[m]prolymphocytic leukaemia"                                                                                                                                                                                                                
"288182013"           "[x]hiv disease resulting in other non-hodgkin's lymphoma"                                                                                                                                                                                   
"2870724014"          "lymphocyte-rich classical hodgkin lymphoma"                                                                                                                                                                                                 
"400011000006119"     "[x]non-hodgkin's lymphoma nos"                                                                                                                                                                                                              
"2965511000006118"    "acute promyelocytic leukaemia"                                                                                                                                                                                                              
"673611000006113"     "nodular lymphoma"                                                                                                                                                                                                                           
"1216029010"          "erythroleukaemia"                                                                                                                                                                                                                           
"291963013"           "non-hodgkin lymphoma (category)"                                                                                                                                                                                                            
"7308311000006114"    "acute myeloid leukaemia with myelodysplasia-related changes"                                                                                                                                                                                
"289846014"           "malignant lymphoma of spleen"                                                                                                                                                                                                               
"306971000006117"     "chronic myelomonocytic leukaemia"                                                                                                                                                                                                           
"304071000006110"     "[m] angioendotheliomatosis"                                                                                                                                                                                                                 
"1228269013"          "[m]myeloid sarcoma"                                                                                                                                                                                                                         
"1211679013"          "reticulosarcoma"                                                                                                                                                                                                                            
"3408471000006111"    "myeloma"                                                                                                                                                                                                                                    
"1220820016"          "[m]true histiocytic lymphoma"                                                                                                                                                                                                               
"291959018"           "mature (peripheral) t-cell neoplasm"                                                                                                                                                                                                        
"826561000006112"     "hodgkin's disease, mixed cellularity of intrathoracic lymph nodes"                                                                                                                                                                          
"405081000006118"     "[x]oth spcf mal neoplsm/lymphoid,haematopoietic+rltd tissue"                                                                                                                                                                                
"289912012"           "myeloid leukaemia nos"                                                                                                                                                                                                                      
"311051000006116"     "[m]leukaemic reticuloendotheliosis"                                                                                                                                                                                                         
"289581017"           "reticulosarcoma of unspecified site"                                                                                                                                                                                                        
"313411000006114"     "[m]myelosis nos"                                                                                                                                                                                                                            
"4310011000006116"    "burkitt's type malignant lymphoma - undifferentiated"                                                                                                                                                                                       
"2168431000000112"    "hodgkin lymphoma, nodular lymphocyte predominance (clinical)"                                                                                                                                                                               
"880851000006117"     "myeloid leukaemia - acute"                                                                                                                                                                                                                  
"344820010"           "multiple myeloma"                                                                                                                                                                                                                           
"5975501000006113"    "follicular non-hodgkin lymphoma"                                                                                                                                                                                                            
"289614011"           "reticulosarcoma or lymphosarcoma nos"                                                                                                                                                                                                       
"289959017"           "other and unspecified leukaemia nos"                                                                                                                                                                                                        
"289888017"           "other lymphoid leukaemia nos"                                                                                                                                                                                                               
"215912012"           "[m]malignant lymphoma, small cleaved cell, diffuse"                                                                                                                                                                                         
"139571000006117"     "solitary myeloma"                                                                                                                                                                                                                           
"291958014"           "[m]histiocytic medullary reticulosis"                                                                                                                                                                                                       
"289612010"           "burkitt's lymphoma nos"                                                                                                                                                                                                                     
"2532080014"          "acute panmyelosis with myelofibrosis"                                                                                                                                                                                                       
"1815051000006115"    "nodular sclerosis classical hodgkin lymphoma"                                                                                                                                                                                               
"1216014013"          "[m]plasma cell leukaemia"                                                                                                                                                                                                                   
"317101000006113"     "[m]subacute monocytic leukaemia"                                                                                                                                                                                                            
"826171000006110"     "hodgkin's disease of lymph nodes of inguinal region and/or lower limb"                                                                                                                                                                      
"291988017"           "[m]subacute leukaemia nos"                                                                                                                                                                                                                  
"310141000006111"     "[m]hodgkin,s disease, nodular sclerosis, lymphocytic predominance"                                                                                                                                                                          
"292041016"           "[m]other myeloid leukaemia nos"                                                                                                                                                                                                             
"554641000006115"     "chronic granulocytic leukaemia"                                                                                                                                                                                                             
"154798010"           "hodgkin's disease, mixed cellularity of spleen"                                                                                                                                                                                             
"1815421000006116"    "primary cutaneous cd30+ large t-cell lymphoma"                                                                                                                                                                                              
"289842011"           "malignant lymphoma of intra-abdominal lymph nodes"                                                                                                                                                                                          
"291903011"           "[m]malignant lymphoma, lymphocytic, well differentiated nos"                                                                                                                                                                                
